year,USA,Russia/USSR,China,ROK
1980,77.2,7.9,78.6,43.1
1981,69.4,7.2,68.3,34.5
1982,71.4,8,72.7,40.2
1983,71.9,8.9,72.5,39
1984,74.9,7.7,74.4,43.6
1985,75.6,8.6,75.4,45.4
1986,67.5,8.9,68.6,39.7
1987,72.2,9.8,69.3,42.2
1988,73.6,14,68.5,50.9
1989,76.4,13.2,51.6,40.7
1990,74.2,23.3,52.3,42.7
1991,78.1,25.3,51.1,43.1
1992,73.7,15.1,55.5,42.9
1993,76.3,11,53.8,43.4
1994,73.6,11.7,51.3,41.9
1995,71.2,9.9,48.4,42.2
1996,75.3,10.4,45,35.8
1997,73.9,11.2,45.9,37.9
1998,77.6,14.9,48.9,46.2
1999,75.6,15.8,49.6,48.3
2000,73.8,14.2,48.8,51.4
2001,76.5,17.9,47.5,50.3
2002,75.6,15.1,45.6,54.2
2003,75.8,20,47.9,55
2004,71.8,16.3,37.6,56.7
2005,73.2,16.2,32.4,51.1
2006,75.3,15.4,34.3,48.5
2007,75.6,14.7,34,54.8
2008,73.3,13,31.8,57.1
2009,78.9,15.4,38.5,63.1
2010,79.9,14,20,61.8
2011,82,13.4,26.3,62.2
2012,84.5,19.5,18,39.2
2013,83.1,22.5,18.1,40.7
2014,82.6,20.1,14.8,31.5
2015,84.4,17.4,14.8,33
2016,84.1,19.3,16.8,38.1
2017,78.4,18,18.7,37.7
2018,75.5,17.7,20.8,39.4
2019,78.7,20.8,22.7,26.7
2020,84,13.6,22,34.9
2021,88.5,13.1,20.6,37
2022,87.2,5,17.8,45.9
